CarType,Charge,Grids,Memo,Name,Period,Range,Region,id
C,差別費率，15元/三十分鐘，大型車加倍,0,,北屯路,每日08:00~20:00,文心路~昌平路,北屯區,189
C,差別費率，15元/三十分鐘，大型車加倍,0,,北屯路,每日08:00~20:00,昌平路~進化北路,北屯區,190
C,差別費率，15元/三十分鐘，大型車加倍,0,,北屯路,每日08:00~20:00,進化北路~健行路,北屯、北區,191
C,20元/時，大型車加倍,0,,北屯路439-17巷,週一至週六08:00~18:00,北屯路~松竹路2段7巷,北屯區,192
C,20元/時，大型車加倍,0,,北屯路441之19號~56號前,週一至週六08:00~18:00,441之19號~441之56號,北屯區,193
C,20元/時，大型車加倍,0,,北屯路473巷6弄,每日08:00~20:00,北屯路473巷6弄~松明街9巷,北屯區,194
C,20元/時，大型車加倍,0,,北平二街,每日08:00~20:00,天津路~北平路,北區,195
C,20元/時，大型車加倍,0,,北平路,每日08:00~20:00,文昌東十二街~興安路,北屯區,196
C,20元/時，大型車加倍,0,,北平路,每日08:00~20:00,中清路~陝西路,北區,197
C,20元/時，大型車加倍,0,,北興街,週一至週六08:00~18:00,國校巷~柳陽東街,北屯區,198
C,20元/時，大型車加倍,0,,台中路,週一至週六08:00~18:00,興大路~忠孝路,東、南區,199
C,20元/時，大型車加倍,0,,台中路,每日08:00~20:00,忠孝路~建國路,東、南區,200
C,20元/時，大型車加倍,0,,四川路,每日08:00~20:00,漢口路~文心路,西屯區,201
C,20元/時，大型車加倍,0,,四平路,每日08:00~20:00,崇德十九路~環中路,北屯區,202
C,20元/時，大型車加倍,0,,四維街,週一至週六08:00~18:00,市府路~三民路,西區,203
C,20元/時，大型車加倍,0,,四維街,週一至週六08:00~18:00,三民路~柳川東路,西區,204
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,市府路,每日08:00~18:00,公園路~臺灣大道,中區,205
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,市府路,每日08:00~18:00,臺灣大道~民權路,中區,206
C,20元/時，大型車加倍,0,,市府路,週一至週六08:00~18:00,民權路~康樂街,西區,207
C,差別費率，15元/三十分鐘，大型車加倍,0,,市政北一路,每日08:00~20:00,文心路~惠中路,西屯區,208
C,差別費率，15元/三十分鐘，大型車加倍,0,,市政北一路,每日08:00~20:00,惠中路~河南路,西屯區,209
C,差別費率，15元/三十分鐘，大型車加倍,0,,市政北七路,每日08:00~20:00,惠中路~朝富路,西屯區,210
C,差別費率，15元/三十分鐘，大型車加倍,0,,市政北二路,每日08:00~20:00,惠中路~朝富路,西屯區,211
C,20元/時，大型車加倍,0,,市政北二路,每日08:00~18:00,朝富路~環河路,西屯區,212
C,20元/時，大型車加倍,0,,市政北三路,每日08:00~20:00,文心路~惠中路,西屯區,213
C,20元/時，大型車加倍,0,,市政北三路,每日08:00~20:00,惠中路~惠來路,西屯區,214
C,20元/時，大型車加倍,0,,市政北五路,每日08:00~20:00,惠中路~惠來路,西屯區,215
C,20元/時，大型車加倍,0,,市政北六路,每日08:00~20:00,惠來路~朝富路,西屯區,216
C,20元/時，大型車加倍,0,,市政南一路,每日08:00~20:00,惠來路~環中路,西屯、南屯區,217
C,20元/時，大型車加倍,0,,市政南二路,每日08:00~20:00,惠中路~河南路,西屯區,218
C,20元/時，大型車加倍,0,,市政路,每日08:00~20:00,文心路~惠中路,西屯區,219
C,20元/時，大型車加倍,0,,市政路,每日08:00~20:00,惠中路~朝富路,西屯區,220
C,20元/時，大型車加倍,0,,市政路,每日08:00~20:00,朝富路~環河路,西屯區,221
